category,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
Aircraft,,,,,1,1,11,65,105,113,52,348
Armoured vehicles,,,,,,,,9,,45,,54
Engines,,4,,,7,22,,24,48,48,16,168
Missiles,,,100,,,,,,,,,100
Ships,,,,,,,,,,,20,20
