,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,2,1,32,2,11,8,31,22,25,18,15,5,3,1,75,82,30,10,7,9,81,3,115,23,54,45,108,115,5,58,25,11,86,3,14,,26,7,18,30,30,43,9,21,1,10,16,63,,,10,5,10,25,12,9,16,10,1,1,9,10,19,12,119,1677
,Armoured vehicles,,,,,,9,,,,4,4,,,,,3,,4,,,,,,,,4,5,37,6,15,3,5,2,,11,9,,,5,,,,,2,3,16,13,8,1,,,,,,0,,5,,,,2,,,1,,16,191
,Artillery,,,,,,,14,14,,,,,,,,,,,,,,,2,1,1,14,14,14,14,4,,5,,6,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,105
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,1,3,3,,,2,,,,,,,,,,0,,,0,,0,,,,,,10,26
,Missiles,,,,,,,,,,,,,,1,1,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,10
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,1,,,,,,,,,,,,,,,,,2,10
,Sensors,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,5,3,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,4,75
,Ships,,,,,,16,20,,9,35,22,30,6,,,17,,6,9,19,,9,47,,28,76,199,28,27,67,14,,,,,,,,,,,,,51,45,10,14,36,,,,,,,9,,10,,,,,54,,54,,6,973
