,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,0,,4,,,1,,46,25,8,,,,1,,,,39,17,,,,,,9,,,13,,243,337,62,,9,98,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195,140,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388
,Armoured vehicles,,,,,,,,13,,,,23,,,,,,,18,,,,,,,3,,,,207,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411
,Artillery,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,27,25,20,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,83
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,32,20,13,11,,,,,,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,152
,Ships,,,,,,,,,,,,,,,,,,,,14,,,,,,6,,,14,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
