,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,8,,110,394,74,,210,388,,140,140,,108,25,142,10,140,30,270,80,25,14,10,149,148,148,234,605,127,288,233,235,462,602,232,462,230,149,29,531,298,34,,,,,,,4,,,,2,8,,22,45,31,15,7,26,5,,,,7676
,Air defence systems,,,,,,,,,,,179,179,179,,,24,24,,,70,70,70,70,,,88,123,123,133,115,115,413,28,,,133,133,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,2339
,Armoured vehicles,43,43,36,36,201,207,211,171,165,165,89,89,214,214,195,156,156,156,150,150,240,124,128,107,107,18,21,18,18,18,88,178,178,178,178,18,18,17,18,13,13,7,7,,,,122,,,3,,,,,,,,,2,3,0,,,,,3,4685
,Artillery,6,11,41,143,4,,,,,,,22,20,25,1,26,26,29,65,37,37,37,38,18,3,3,,2,2,,,,,,23,45,50,50,45,27,5,,,,,,,,,,,,,,,,,,,,,,,,,,839
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,11,,,,,,,,,,,,,,4,,,3,3,,,3,,,,,34
,Missiles,,,,,,,,,,,21,27,31,44,41,19,2,5,5,5,15,44,162,155,47,47,47,47,75,63,62,92,56,43,46,120,184,125,12,43,47,35,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1768
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Sensors,,,,,,,,,,,45,66,51,57,51,6,,,,,25,,,,,,,21,,,21,,,,,15,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,370
,Ships,,,14,74,17,25,108,75,78,,,,,90,13,,,,,,299,95,53,,,91,37,49,54,,,45,79,45,62,36,65,8,20,135,151,,,,,,,,,,,,,,,132,,,80,102,,,,,,,2131
