,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,9,0,0,3,13,32,6,16,10,60,176,453,118,,,38,,30,30,30,30,262,224,224,,37,194,242,194,75,617,646,582,164,39,170,,,83,83,151,,,,,,,,,,,,,,,,,,,,,,,,,5036
,Air defence systems,,,,,,,,,,,,214,214,30,,,,,,,,,,,,70,140,245,105,,,,35,18,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1121
,Armoured vehicles,,,,,,,3,2,7,,67,66,136,104,140,125,131,125,125,125,125,132,132,132,125,125,45,45,45,45,45,67,66,66,46,39,39,38,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550
,Artillery,,,,,,,,,,,,39,28,6,1,5,5,1,,0,,,15,20,15,5,25,25,23,,,,,,,37,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
,Missiles,,,,,,,,,,,,30,129,18,,,22,,,,,,19,20,20,,52,89,44,18,18,69,82,35,13,32,47,17,4,11,22,9,,,,,,,,,,,,,,,,,,,,,,,,,817
,Sensors,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,15,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186
,Ships,,,,,,,,,,,,,180,14,104,,36,36,,,,,34,34,34,,17,17,51,153,209,209,99,75,194,180,,,125,,65,,,,,,,,,,,,,,,,,,,,,,,,,,1867
