,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,2,,3,10,9,12,12,,5,5,5,,,,,,15,14,15,8,,,,113,,,20,20,51,50,50,12,12,,27,36,27,,,,,,,,,,,,,,,,,,,,14,,,,,,,,547
,Air defence systems,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,41
,Armoured vehicles,,,18,,,,,,,,,61,89,89,124,94,96,63,,,,,,54,72,60,6,5,5,5,5,,90,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,3,51,,,13,1270
,Artillery,,,,,,,,,,,5,17,18,14,,20,16,,,,,4,4,,,14,16,16,14,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173
,Missiles,,,,,,,,,,,,,,1,,3,,,,,,2,4,4,4,4,4,4,4,4,4,4,12,12,8,8,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,88
,Sensors,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
