,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,10,,1,2,94,51,19,,82,,30,46,11,7,115,18,113,115,15,123,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,7,,5,,,,,15,7,7,7,974
,Air defence systems,,,,,,,3,3,3,3,,,,,,,,,,,,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
,Armoured vehicles,,,,,,25,25,,,,2,,,,,,45,45,68,90,90,125,90,80,58,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761
,Artillery,,,11,12,12,12,17,13,13,13,4,,,,,,,,8,9,10,24,24,24,16,16,5,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251
,Missiles,,,,,,,,,,,,,,,,8,11,3,3,3,3,6,3,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,51
,Sensors,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,22
,Ships,14,,,,,,54,5,30,29,55,43,,,,54,,,72,180,24,84,,,60,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,722
