,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,538,237,7,472,40,184,300,186,592,371,295,15,19,14,14,38,538,286,255,155,166,289,5,5,245,5,4,8,7,8,18,17,240,222,31,736,839,470,483,373,228,90,86,,,60,60,,,170,,,,,,,,,,,,,,,,,9417
,Air defence systems,,,42,42,42,42,42,30,30,15,15,,89,89,89,,89,89,108,108,108,808,19,19,19,19,19,19,,,,,,,,126,34,104,104,,,,,,,6,,,,,,,,,,,,,,,,,,,,,2364
,Armoured vehicles,243,25,30,20,22,4,4,4,2,2,,15,15,,,14,59,236,179,169,169,320,375,380,420,315,234,234,221,131,135,164,203,150,150,98,114,114,114,114,24,18,6,,,,,,,,9,20,,,,,,,,,,,,,,,5271
,Artillery,64,99,98,98,52,80,68,23,23,23,1,1,1,3,8,17,134,131,75,35,42,35,60,60,60,60,8,8,8,5,5,40,10,13,10,8,3,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1471
,Missiles,,,,,,,,,,,,,18,18,18,10,28,18,57,66,67,37,28,25,30,10,26,27,31,39,39,37,38,38,38,67,54,72,76,54,34,34,41,39,29,24,14,9,9,9,9,9,9,8,8,5,15,5,5,4,1,,,,,,1381
,Sensors,4,4,19,27,31,31,31,31,26,21,9,9,9,11,8,8,6,6,18,54,42,42,12,16,12,16,,,,,,5,8,5,4,5,4,37,27,4,8,6,4,4,6,3,4,,,,,,,,,,,,,,,,,,,,634
,Ships,,,,,40,28,,120,210,210,167,48,48,79,48,48,,88,608,18,30,30,64,136,136,212,212,18,103,50,220,,50,84,50,,50,50,50,50,,50,,50,,50,,,,,,,,,,,,,,,,,,,,,3505
