,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,162,224,235,185,169,216,244,11,12,11,,11,18,77,76,24,,,,24,25,13,18,36,25,28,,,,,4,146,2,2,,28,26,25,32,40,41,1,,5,27,47,,,,0,8,,,6,,,6,13,10,3,,58,65,22,21,36,2517
,Air defence systems,,,,,,,,,,,,,,70,175,175,,25,25,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545
,Armoured vehicles,,,,68,135,135,135,74,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,0,6,237,35,35,126,144,159,134,132,48,31,11,,10,2,12,,,8,15,27,20,,1814
,Artillery,,,,,,,30,34,34,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128
,Engines,64,75,75,75,75,144,163,106,106,144,106,38,63,125,125,63,125,104,93,39,39,39,104,95,98,89,75,63,50,50,38,38,38,38,25,30,27,34,26,20,13,1,1,2,11,13,52,69,65,65,60,33,26,27,26,26,57,22,8,,,,,1,1,2,3500
,Missiles,,,,,,,,,3,7,14,4,11,26,21,20,35,69,84,58,29,4,7,,,,,38,55,38,75,91,97,64,66,18,66,66,33,15,12,16,,,,,,,85,,,,,,,32,2,2,2,44,46,6,6,,,,1366
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,2,1,3,10
,Sensors,,,8,63,75,64,2,5,17,8,,5,39,9,13,5,45,52,24,17,14,30,,15,5,5,11,,,36,36,24,3,,15,10,35,35,33,15,24,31,34,21,21,,,,,,3,,,,10,20,47,2,13,7,,120,120,,,3,1244
,Ships,,,,,,,,,,,,,,,,,75,75,,,,,31,85,128,170,128,,93,123,93,154,31,,,,,,,13,,,25,5,,,8,,,,,,,,,,,,,,,,,,,,1236
