,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,,,,1,15,3,2,1,,0,15,9,2,15,,13,58,179,18,65,97,37,,,6,26,26,,,38,10,,,,,,15,,,15,,,,,,,,,,112,,20,1,7,11,818
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Armoured vehicles,,,,,,,,,,,,,,,2,,,,1,3,,5,,,2,,,,3,34,36,33,33,,,,,,,23,,,,,,,,,,,,,,,,,,10,,,,5,5,,1,1,196
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,18,51
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,3,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,0,4,,,,25
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,15,11,14,7,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
,Naval weapons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,14
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
,Ships,,,,,,,,,,,,,,,2,,16,,,,,,,,9,18,,,,,,,,,,,,125,,,,,,,30,,,41,,,,,,,,,,,,,,8,31,,,,279
