,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,,,8,2,3,0,30,34,38,14,12,40,7,10,436,101,27,70,12,,44,46,3,172,359,114,48,2,15,15,0,,2,2,2,15,1,,,36,4,2,27,6,,6,11,11,28,180,3,4,13,80,94,2184
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210,,,,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370
,Armoured vehicles,,,,,,,,,,,,1,2,1,,,1,1,7,1,,,,,2,,,23,49,24,30,53,51,19,51,52,52,4,4,,4,,40,33,88,,,,,,,,,15,,,9,29,8,,2,2,1,3,41,25,726
,Artillery,,,,,,,,,,,,,,,,45,91,,,,,,,,,,,2,10,,13,23,6,19,16,27,20,1,1,,,3,15,3,3,,,,,,,3,,8,,,,12,,,,,,,1,2,324
,Engines,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,11,11,36,1,15,23,25,7,,,,,4,3,3,,,,,,,,,,,,,,,2,2,,,,4,4,162
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,50,13,21,9,26,19,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,152
,Naval weapons,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,17,10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59
,Sensors,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,7,,18,12,17,,,17,5,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
,Ships,,,,,,,,,,5,,,6,,,69,7,14,4,,,,50,,12,,,12,,51,154,126,421,,,,,48,48,,,,,,,,,,,,,,4,12,,,,,,35,,60,,19,97,64,1316
