,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,6,,,2,,,,26,3,6,,2,4,2,1,1,15,13,1,1,2,2,10,20,33,16,1,9,4,13,16,6,,,27,18,,56,66,,11,13,13,9,,,,,9,19,,,,1,1,7,2,3,5,1,22,12,1,46,7,560
,Armoured vehicles,,,,,,,,,,,,,,,,,,,3,,2,,11,,,,,,2,20,27,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,69
,Artillery,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,3,,,,,,,,,,,,,,,,,,,,,,,19
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,18
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,,,,7
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
