,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,8,48,948,1540,1500,1500,900,600,150,157,101,203,225,240,231,234,275,251,282,282,270,457,233,273,304,256,406,354,345,237,349,586,676,842,892,961,1032,513,56,,,,,,,,,,,,,,,,,,,,,,,,,18718
,Armoured vehicles,,,,,,,,,,,,,,,,,19,19,,,,,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,4628
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,,,,,152
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18,24,24,24,18,18,,27,36,36,36,36,,,,,,,,,,,,,,,,,,,,,,,,,315
,Ships,33,,,,,,,,,,77,25,17,136,260,260,348,326,309,302,242,242,242,43,230,268,255,302,278,148,125,165,145,83,40,40,249,326,326,116,117,40,,,,,,,,,,,,,,,,,,,,,,,,,6114
