,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,10,14,4,24,25,1,,7,6,30,61,80,235,175,189,223,435,413,289,63,30,60,42,42,30,620,593,866,449,491,362,,,,,68,68,,,,,255,24,87,170,,,,4,20,247,57,26,,,1,111,455,553,5,246,244,8505
,Air defence systems,,,,,,,,,,,,,,,,179,290,364,357,185,185,117,204,263,,,,,350,613,88,,,175,,13,13,,,,,,,,,,,,,,,,,,,94,,,16,,16,,16,,,90,3625
,Armoured vehicles,,,,,,18,18,18,18,18,25,8,11,14,16,24,11,18,27,40,260,517,509,343,250,188,,,87,137,60,45,45,45,45,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,2832
,Artillery,,,,,,,,,,,24,31,,,28,42,97,92,87,131,150,129,38,16,40,23,,,,,,4,,,,,,,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,960
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,13,,,13,,8,,,,8,,,13,,,20,,,15,17,121
,Missiles,,,,,,,,,,,,,,,,60,122,152,155,125,118,155,206,87,45,40,,,,132,126,116,35,92,50,15,15,5,5,,,,,,,14,24,10,50,24,7,8,12,8,57,70,15,2,43,56,57,149,79,53,118,118,2828
,Sensors,,,,,,,,,,,,,30,63,83,165,225,225,264,191,120,,,,,,,,,,15,,,,,,,,,,,,,,,13,25,13,,,,,,,,,,,,15,,15,18,44,53,15,1590
,Ships,,,,,,,,30,,,15,55,,,81,15,36,12,36,,,,30,30,4,,,,110,106,136,46,,110,97,,50,45,45,45,48,,,,,,126,,,126,,69,50,,,69,,,126,,,400,100,260,646,386,3540
