,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,2,1,,3,4,17,,,5,17,,0,,,6,3,10,31,4,13,42,,,,49,80,,56,,16,4,20,,,8,51,62,31,18,10,,,9,,,,,,3,,7,7,,38,38,,666
,Air defence systems,,,,,,,,,,,,,,,,,,,4,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,16
,Armoured vehicles,,,,,,,,11,,,20,,,,,14,,,,,20,,,8,8,,,,10,43,29,10,2,84,66,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,3,6,335
,Artillery,,,,,,,,,,,23,,,,,6,,,4,,,,,,,,,,,,,2,,,,,,,17,31,,,,,,,,1,,,,,,,,,,,,,,,,,,,83
,Engines,,,,,,,,,,,,,,,,3,,,,,,,,,,,,29,,,,,,2,,12,,,,,,,,,,5,6,1,,,,,,,,,,,,,,,,,2,,59
,Missiles,,,,,,,,,,,,,,,,,,,4,,2,,,,,1,,,,39,12,15,20,17,,50,,,,,,,,,,,,0,,,,,66,,,,2,,,,,,,,,,228
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,29,37,,,8,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93
,Ships,,,,,,,,,,13,,5,,5,,,,5,,7,22,,,18,,11,,33,,,,,,,,175,,,,,,,32,,27,,,6,,,,,,,,168,,,,,,,,,,,523
