,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,32,,,0,0,9,,2,,,,,,,1,,,1,,13,,,,,,,40,,,,,,,,,,,,3,,10,6,,,,,,,,,4,,4,,0,,127
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Armoured vehicles,,,,,,,,,,17,,,,,,,,,,0,1,2,,,4,,,7,,,,,1,1,,,,,,,1,,,,,,,,0,,,,,2,,1,,,,,,1,,,5,,42
,Artillery,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,0,,,,,,,,,9
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,6
,Sensors,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Ships,,,,,,,,,,,,,,,,8,,4,,,,,4,18,18,,18,,45,55,,,,,,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,230
