,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,31,61,270,76,194,220,187,149,390,90,50,311,188,213,252,111,101,52,197,166,183,280,312,101,108,35,209,106,160,106,75,50,196,54,3,13,112,109,18,,35,15,15,22,72,122,46,53,,18,26,43,16,11,20,23,0,126,4,,60,33,38,18,54,136,6542
,Armoured vehicles,,,,,21,15,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,8,27,34,58,59,11,3,,,68,68,65,86,72,28,28,23,20,6,91,188,173,132,124,133,143,107,87,165,219,149,116,63,2589
,Artillery,,,4,6,11,4,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,39
,Engines,,,,,,,,,,,,,,,,,,,,,13,13,14,29,13,113,120,53,17,43,55,41,38,49,67,43,71,79,65,38,56,68,15,13,15,32,41,15,10,9,19,52,55,69,70,61,71,74,80,79,89,118,87,92,84,113,2461
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Sensors,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,28,13,28,25,10,10,10,27,25,24,8,10,36,45,42,9,4,,,2,,8,,16,10,16,20,40,,10,,8,5,,,,,508
,Ships,7,,,,81,,57,14,79,24,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,35,,,,,,,20,,,,29,,29,,,,,,,,,,,,,,,386
