,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,9,6,0,0,,0,,8,2,,13,,26,15,14,,,,,,,54,54,10,10,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,22,248
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35
,Armoured vehicles,,,,,,,,,4,4,,,,,,,,,,,23,,,,,16,,15,3,,19,53,63,50,,,3,,5,12,19,,11,22,10,9,,5,,,,,,,,,,,,,,,,,,,347
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,13,15,19,,3,14,59,59,48,,,2,,,,5,,,,,,,,,,,,,,,,,,,,240
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,11,1,1,14,2,2,2,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,47
,Ships,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
