,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,,,,,,,,,,,,,,,,,,0,,22,,,,38,1,,137,1,,4,,7,60,7,20,,,,3,,,3,10,,,,21,16,,,18,10,18,32,28,,,,,,456
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
,Armoured vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,360,94,107,3,11,54,15,4,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,667
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,113,,,,,,,,,,,225
,Missiles,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,1,,,,8,2,,12,6,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,37
,Ships,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
