,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,,,,,,29,,,,2,0,2,1,1,,,,,5,,,,,,,,,2,3,,,41,36,,,,,18,36,1,1,,,,149,33,,,,,,19,,,,,1,91,95,,103,,20,,,686
,Air defence systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,13
,Armoured vehicles,,,,,9,9,,,,,2,,,,,,,,,,,,,,,,,,,,1,19,,51,96,3,,,,,,,,,33,18,22,24,23,27,7,18,,,,14,52,18,24,46,6,,,,,,523
,Artillery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,17,5,2,,,,,,19,,,,,,,,48
,Missiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,4
,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,19,,19,,,,,,,,,,3,4,23,13,1,14,14,15,47,,7,,0,1,1,8,22,35,10,,257
,Ships,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,132,,,80,102,,,,,,,392
