,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Aircraft,,19,37,17,1,28,8,4,3,,6,9,10,13,11,2,1,,,1,252,430,116,0,57,110,46,9,6,4,3,6,2,3,31,31,27,3,99,72,2,2,2,2,2,2,2,1,,1,,124,2,2,2,370,213,160,141,195,466,384,131,160,161,1,4006
,Armoured vehicles,,,,,,,,,,,3,2,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,2,,,6,,38,64,60,2,21,121,175,108,73,97,115,106,72,77,71,1,0,17,1235
,Artillery,27,27,27,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,16,16,30,75,150,140,45,10,,,,,,,,,,0,0,0,1,2,,,,,0,,,,,,607
,Engines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,6,6,6,6,1,0,0,0,0,2,,,,,7,7,7,7,7,17,,,1,5,6,7,5,15,16,15,18,15,3,12,204
,Missiles,,,,,,,,,,,,,,,,,20,20,20,20,,,1,1,2,2,1,,,16,50,64,24,12,89,123,118,85,127,137,103,102,105,46,44,4,5,6,23,24,87,87,10,26,21,26,34,18,12,37,62,69,93,39,22,29,2066
,Naval weapons,,,,124,20,77,88,108,31,10,30,25,25,10,20,30,35,35,40,15,10,,12,7,10,2,15,18,30,31,46,10,6,7,21,5,2,,5,3,,,8,8,10,8,8,,1,15,10,3,5,3,3,8,3,,5,,5,8,5,,8,10,1086
,Other,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,,,,,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
,Sensors,,,,,,,,,,,,,,,,,,,,,,,8,,,,10,27,20,5,32,37,80,68,61,27,72,68,133,52,78,40,34,46,55,32,44,19,18,33,52,65,128,120,95,15,53,33,142,35,36,49,61,118,91,61,2246
,Ships,,,,,,,,,246,5,,,,,,,,,,,,120,,,,,,,,208,25,4,4,,,,65,,,,,,,,,150,280,73,250,245,145,607,,245,,,9,21,36,24,,99,99,57,57,57,3129
