,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Germany (FRG),,,,,,,,23,36,,73,223,223,172,319,176,72,,,,,46,10,23,33,35,5,,,,,,8,18,15,,,,,3,3,,,5,3,3,5,,,,,,,,6,3,,25,6,,,,7,8,,,1582
,Ghana,,,,,,,,,,,,,,,,,15,,,,,,4,,,,,,16,,,5,,,,,,10,,,,,,,10,,7,5,,,,,,,,,,,,,,,,,,,71
,Greece,,100,,,,,,,,,,,,,,,8,,,26,29,,,42,,39,,15,57,85,20,82,77,50,64,0,4,5,5,,,,,,,8,,,,,,,,140,16,47,22,79,15,,3,,3,,,,1040
,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,14,,,,13,13,13,,,,,,,,,78
,India,,,,,4,,,,,,,,,,,,,,,,,36,,,,,,,3,3,4,4,4,4,4,4,4,4,3,,,,,,,,3,3,,3,12,9,9,9,18,15,4,5,,,12,306,12,6,11,6,518
,Indonesia,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,16,4,4,,,,,8,,231
,Iran,,,,,,,,,,,,,,,,,,5,,36,36,41,42,2,82,173,156,120,271,163,44,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1344
,Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,50,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,158
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,,,,,,,,,,,,,,,,,,,,3,,3,,,,,12,12,12,,,,,,3,3,49
,Israel,,,24,,,,,,,,,,,,,,,,,,,,,15,15,22,,,,22,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,111,295
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,8,8,8,5,5,3,13,10,8,,72,,39,8,5,8,5,8,3,10,16,10,5,5,,,,,,,,,,263
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,22,,26
,Kenya,,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,,,,,,5,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,19
,Kuwait,,,,,,,,,,,,,,,,,,,4,4,1,,,,,,,,,,,,,,,,,,4,11,11,11,,,,,11,11,,,,,,,,,,,5,5,9,9,9,9,,,113
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,3
,Lebanon,5,,,,,0,,,,,,,,,,,,,,,,,,11,11,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49
,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,Libya,,,,,,,,,,,,,,,,,,,,,,2,,,7,,120,14,20,95,272,259,174,225,152,92,3,,,,,,,,,,,,,,,,,,,,2,2,,23,6,6,,1,,,1472
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,16,16,,,,,,,48
,Macedonia (FYROM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,3
,Malaysia,,,,,,,,,,,,,,,,,,,,,14,18,14,,,,,,,,,,,31,31,225,,,,,,,,,,,,160,35,165,18,,8,13,19,3,29,,,113,15,,,,,,907
,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,18,,,,,,,,,12,,30
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,,5
,Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3,,,,,4,4,,10,,,,,,,,21,53,,,,95
,Morocco,,,,,,,,,,,,,,,,,,,,26,26,0,,,36,32,35,21,6,60,30,5,50,10,,,,,,,,,,,,,,,,,,,,,,,,,,,32,43,13,8,10,,442
,Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,6,6,,,,,,,,,18
,Netherlands,,,,,,,45,,,,,,4,13,,,,,,,,,,,,,,,8,8,8,8,5,5,3,3,,,,,,5,3,10,15,3,,,,,,,3,3,3,3,,,,,40,27,27,54,7,62,371
,New Zealand,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,,,,,,,,,,,,,,,,,,6,6,,,,117
,Nigeria,,,,,,,,,,,,,,,,45,45,,,,,,,,,,,,,,22,23,51,6,59,88,20,48,48,,,,12,3,3,,,,,,,6,,8,6,,6,22,,30,21,3,3,,,,578
,North Yemen,,,,,,,,,,,,,,1,,,,,,,,,,,4,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27
,Norway,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,5,4,9,5,12,10,13,14,12,7,129
,Oman,,,,,,,,,,,,,,,,,,,,,,24,,,13,13,,,,,,,5,5,5,3,,,,5,,,,,,,3,3,,,,9,,,,,,,,,14,7,,6,3,6,121
