,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Dominican Republic,,,,,,,,,15,,,,,,1,,,,1,0,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17
,DR Congo,,,,,,,,,,,,,,,,4,7,,,,,74,15,5,,271,,,9,,,5,10,5,16,,,,0,,1,,,,,,27,,,,,,,,,,,,,,,,,,,,446
,Ecuador,,,,,,,,,,,,,,,,,,,,,,26,35,,2,14,83,72,11,87,93,100,131,57,50,15,5,15,,,,18,,,,,4,5,6,,,,,,,,,,,,,2,7,2,7,1,845
,Egypt,,,,,42,69,,,,,,,,,,,,,,,,,,85,228,226,33,272,89,65,311,107,91,387,189,181,133,348,49,34,33,,,,,,,,1,1,1,,,,,,,,,,,,4,41,17,699,3733
,El Salvador,,,,,,,,,,,,,,,,,,,,,,,,1,,,4,,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19
,Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,3,4,3,,,13,,15,41
,Ethiopia,,,,,,,,,,,,,,,,1,1,5,1,,5,,20,,,,,28,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
,Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,4
,Finland,,,,,,,,,,18,1,10,11,11,10,10,10,1,,,,,,,,,,,,,,,,,,,,,,,4,4,139,272,124,42,4,4,5,5,5,5,4,3,,3,5,,35,,7,14,7,59,52,52,932
,Gabon,,,,,,,,,,,,3,,,3,0,2,,2,1,1,9,,2,10,1,16,,76,,18,,,1,93,2,7,10,26,,20,,,,,,,,,,,,,,,,,,,,,,1,,,3,306
,Germany (FRG),,,,,,,23,71,291,399,480,410,385,179,219,70,323,204,177,113,48,48,167,355,414,265,45,45,85,48,60,66,66,7,2,2,,,,,,,,,,,,,,,,,13,13,25,25,25,25,,,,,,26,26,26,5266
,Ghana,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,9
,Greece,,,,,,,,,,,,,,,,,,6,,,,147,212,13,,70,192,380,609,4,180,179,4,4,,,,,274,365,8,8,272,35,35,8,8,9,6,98,3,74,41,65,50,16,61,879,1,,11,47,18,32,28,42,4491
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Guinea,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,0,,8
