,Country,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Haiti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,India,,,,,,,4,6,6,,,,,18,56,,,2,15,,,,,,,,,,,,,,,,,5,5,10,5,,,,,,,,,,,,,,,,,,,,,,,,,18,15,92,257
,Indonesia,,,,,,,,,1,1,2,0,,,,,,,,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,4,,1,,1,2,,,1,11,6,6,6,56
,Iran,,,,,,2,,,,,1,,,,,,,,,,,,,14,,94,112,35,6,6,,,,,21,,,,,1,2,12,,,,,,,,,,,,,,,,,,,,,,,,,305
,Iraq,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3,3,4,21,,6,12,12,23,5,2,,,,,,,,,,,,,,,0,0,1,0,2,7,,,,,,102
,Ireland,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,29,,29,,,5,,,,,,,,,,,,68
,Israel,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,7,7,1,1,,,,27
,Italy,,,,,,,,,,,,,,,,,,,,,,,1,1,2,9,10,10,10,10,10,10,10,,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97
